Step,x,y,obs_x,obs_y,u_nom_v,u_nom_w,us0v,us0w,us1v,us1w,us2v,us2w
139,0.03560143787888569,0.038952169262285334,1.6802836879432623,1.6802836879432623,4.539307250276397,-1.6135184686496757,0.712,-0.6899998,0.712,-0.6899998,0.712,-0.6899998
140,0.036082669594237685,0.039476916541931105,1.6801418439716311,1.6801418439716311,4.539307250276397,-1.6135184686496757,0.72,-0.7199998,0.72,-0.7199998,0.72,-0.7199998
141,0.03656967443718784,0.040007223953350865,1.68,1.68,4.539307250276397,-1.6135184686496757,0.72800004,-0.74999976,0.72800004,-0.74999976,0.72800004,-0.74999976
142,0.03706247638281103,0.04054306899285483,1.6798581560283687,1.6798581560283687,4.539307250276397,-1.6135184686496757,0.73600006,-0.77999973,0.73152417,-0.77999973,0.73152417,-0.77999973
143,0.037561099895942376,0.04108442862602942,1.6797163120567375,1.6797163120567375,4.539307250276397,-1.6135184686496757,0.7440001,-0.8099997,0.7301899,-0.8099997,0.7301899,-0.8099997
144,0.03806556992835236,0.04163127928478921,1.6795744680851064,1.6795744680851064,4.539307250276397,-1.6135184686496757,0.7520001,-0.8399997,0.0,0.0,0.0,0.0
145,0.03857591191584044,0.042183596864357194,1.6794326241134752,1.6794326241134752,4.539307250276397,-1.6135184686496757,0.7600001,-0.86999965,0.0,0.0,0.0,0.0
146,0.03909215177524661,0.04274135672017401,1.679290780141844,1.679290780141844,4.539307250276397,-1.6135184686496757,0.7680001,-0.8999996,0.0,0.0,0.0,0.0
147,0.03961431590138025,0.04330453366473669,1.6791489361702128,1.6791489361702128,4.539307250276397,-1.6135184686496757,0.77600014,-0.9299996,0.0,0.0,0.0,0.0
148,0.04014243116386582,0.04387310196436747,1.6790070921985816,1.6790070921985816,4.539307250276397,-1.6135184686496757,0.78400016,-0.95999956,0.0,0.0,0.0,0.0
149,0.0406765249039046,0.044447035335913335,1.6788652482269504,1.6788652482269504,4.539307250276397,-1.6135184686496757,0.7920002,-0.98999953,0.0,0.0,0.0,0.0
150,0.041216624930952024,0.04502630694337685,1.6787234042553192,1.6787234042553192,4.71886541976491,1.5039322625727853,0.8000002,-0.95999956,0.0,0.0,0.0,0.0
151,0.041762759519309814,0.04561088939447902,1.678581560283688,1.678581560283688,4.71886541976491,1.5039322625727853,0.8080002,-0.9299996,0.0,0.0,0.0,0.0
152,0.04231492201175169,0.04620078786793451,1.6784397163120568,1.6784397163120568,4.71886541976491,1.5039322625727853,0.8160002,-0.8999996,0.0,0.0,0.0,0.0
