Step,u_nom_v,u_nom_w,u_safety_v,u_safety_w,x,y,obs_x
52,4.487824408048756,-1.1499774153623312,4.4878244080487555,-1.1499774153623312,0.011022801547047116,0.00015013079900348564,5.986086956521739
53,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.011446727731721801,0.0001580421798668332,5.985819397993311
54,4.487824408048756,-1.1499774153623312,4.4878244080487555,-1.1499774153623312,0.011878653247363901,0.00016606395880335796,5.985551839464883
55,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.01231857836093823,0.00017418149824661427,5.985284280936455
56,4.487824408048756,-1.1499774153623312,4.487824408048757,-1.1499774153623312,0.012766503347671699,0.0001823794406605804,5.985016722408027
57,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.013222428489476743,0.00019064170851213434,5.984749163879599
58,4.487824408048756,-1.1499774153623312,4.4878244080487555,-1.1499774153623312,0.01368635407326677,0.00019895150424261056,5.984481605351171
59,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.014158280389163592,0.0002072913102387259,5.984214046822743
60,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.014638207728596846,0.00021564288880318564,5.983946488294315
61,4.487824408048756,-1.1499774153623312,4.487824408048757,-1.1499774153623312,0.015126136382295404,0.00022398728212530354,5.983678929765886
62,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.015622066638170756,0.00023230481225199192,5.983411371237458
63,4.487824408048756,-1.1499774153623312,4.4878244080487555,-1.1499774153623312,0.01612599877909238,0.0002405750810595013,5.98314381270903
64,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.016637933080555074,0.00024877697022631084,5.982876254180602
65,4.487824408048756,-1.1499774153623312,4.487824408048757,-1.1499774153623312,0.017157869808238253,0.0002568886412075944,5.982608695652174
66,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.01768580921545722,0.00026488753521170904,5.982341137123746
67,4.487824408048756,-1.1499774153623312,4.487824408048757,-1.1499774153623312,0.018221751540506377,0.00027275037317917624,5.982073578595318
68,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.018765697003894428,0.00028045315576464744,5.981806020066889
69,4.487824408048756,-1.1499774153623312,4.4878244080487555,-1.1499774153623312,0.019317645805471496,0.00028797116332237004,5.981538461538461
70,4.487824408048756,-1.1499774153623312,4.487824408048758,-1.1499774153623312,0.01987759812144823,0.0002952789558956913,5.981270903010033
71,4.487824408048756,-1.1499774153623312,4.487824408048757,-1.1499774153623312,0.020445554101306836,0.00030235037321116066,5.981003344481605
72,4.487824408048756,-1.1499774153623312,4.487824408048757,-1.1499774153623312,0.021021513864604102,0.0003091585346778136,5.980735785953177
73,4.487824408048756,-1.1499774153623312,4.487824408048757,-1.1499774153623312,0.02160547749766635,0.00031567583939224355,5.980468227424749
74,4.487824408048756,-1.1499774153623312,4.487824408048757,-1.1499774153623312,0.022197445050176363,0.0003218739661500897,5.980200668896321
75,3.8067913082871536,1.2179270676329184,3.8067913082871554,1.2179270676329184,0.022797416531652286,0.00032772387346459273,5.9799331103678925
76,3.8067913082871536,1.2179270676329184,3.806791308287154,1.2179270676329184,0.0234053919078185,0.00033319579959289195,5.979665551839465
77,3.8067913082871536,1.2179270676329184,3.806791308287152,1.2179270676329184,0.02402137079195194,0.00033829622131296706,5.979397993311037
78,3.8067913082871536,1.2179270676329184,3.8067913082871536,1.2179270676329184,0.024645352818311025,0.00034303233583956824,5.979130434782609
