Step,X_d,Y_d,Theta_d,X,Y,Theta
35.0,2.0,0.6453488372093023,2.5845079097846257,1.9732166937060325,0.6244071499083124,1.7299670370302553
36.0,2.0,0.7209302325581393,2.7032308879726124,1.9632262741375548,0.6866416311387609,1.8733862374915935
37.0,2.0,0.7965116279069766,2.821953866160599,1.9504032419751056,0.7277178867339715,1.9974726781496874
38.0,2.0,0.872093023255814,2.940676844348585,1.9243179194443238,0.785098154123052,2.149464148021944
39.0,2.0,0.9476744186046508,3.0593998225365713,1.9007837329469361,0.821123575612168,2.2264556178942008
40.0,1.9767441860465118,1.0,3.141592653589793,1.8623547136891778,0.871085056935925,2.3784470877664576
41.0,1.9011627906976745,1.0,3.141592653589793,1.8312575152436568,0.9008281767521474,2.4554385576387143
42.0,1.8255813953488376,1.0,3.141592653589793,1.7824909663600788,0.9407626586839675,2.607430027510971
43.0,1.7500000000000002,1.0,3.141592653589793,1.7454541691490792,0.9626707526200811,2.684421497383228
44.0,1.6744186046511629,1.0,3.141592653589793,1.6888959231354568,0.9904934761575033,2.686412967255485
45.0,1.5988372093023255,1.0,3.141592653589793,1.6143187402302723,1.0269959847934715,2.7634044371277415
46.0,1.5232558139534889,1.0,3.141592653589793,1.5557415799046248,1.0502694766965073,2.7653959069999985
47.0,1.4476744186046515,1.0,3.141592653589793,1.4785168149031527,1.0807739848430036,2.842387376872255
48.0,1.3720930232558142,1.0,3.141592653589793,1.380063130747724,1.1111435688478979,2.994378846744512
49.0,1.2965116279069768,1.0,3.141592653589793,1.2979299745233044,1.1233228132993138,3.0713703166167687
50.0,1.2209302325581395,1.0,3.141592653589793,1.195152647568063,1.1305519640338502,3.2233617864890256
51.0,1.1453488372093028,1.0,3.141592653589793,1.112398819118321,1.1237701336243713,3.3003532563612823
52.0,1.0697674418604655,1.0,3.141592653589793,1.0501602459759056,1.1138052377205758,3.3023447262335393
53.0,0.9941860465116282,1.0,3.132460116806102,0.9681994973213561,1.1005152028531267,3.379336196105796
54.0,0.9186046511627909,1.0,3.013737138618116,0.9069411935840651,1.0856706967849858,3.381327665978053
55.0,0.8430232558139535,1.0,2.8950141604301294,0.8651405922675437,1.0754531306785442,3.3083191358503097
56.0,0.7674418604651162,1.0,2.7762911822421428,0.80298337211675,1.0649927712056082,3.3103106057225666
57.0,0.6918604651162796,1.0,2.657568204054157,0.7211310895643039,1.0510502754553201,3.2373020755948234
58.0,0.6162790697674423,1.0,2.5388452258661705,0.6583883064132121,1.0450267964246984,3.2392935454670804
59.0,0.540697674418605,1.0,2.420122247678184,0.6155622645116221,1.040829289711715,3.166285015339337
60.0,0.4651162790697676,1.0,2.3013992694901977,0.5525502237742556,1.0392730573094926,3.168276485211594
61.0,0.38953488372093026,1.0,2.182676291302211,0.46954852702233985,1.0370577281927948,3.095267955083851
