Step,X_d,Y_d,Theta_d,X,Y,Theta,Cost
30.0,0.3843843843843844,0.0,0.0,0.3980648735434253,-0.001790991302178637,-0.0197179348559005,0.010202412041850503
31.0,0.40040040040040037,0.0,0.0,0.4095911541790675,-0.0020182952120026388,-0.03394727874300271,0.0031287144137424187
32.0,0.4164164164164164,0.0,0.0,0.42392886365051624,-0.0025052084888361388,-0.023176622630104927,0.0018019587104858674
33.0,0.43243243243243246,0.0,0.0,0.4367509013331439,-0.0028024332381308796,-0.035795536407866424,0.0014478577754951532
34.0,0.44844844844844844,0.0,0.0,0.45084994684894353,-0.0033073317992441007,-0.023414450185627916,0.013620177028470891
35.0,0.46446446446446443,0.0,0.0,0.466744820627718,-0.003679569556802764,-0.03603336396338941,0.01290297047578932
36.0,0.46446446446446443,0.0,0.0,0.4789593673307163,-0.004119891352057752,-0.0236522777411509,0.00465887113714129
37.0,0.4804804804804805,0.0,0.0,0.4927470970310033,-0.004446063390118176,-0.03627119151891239,0.006453177112957951
38.0,0.4964964964964965,0.0,0.0,0.5069400177951037,-0.004961083410508898,-0.023890105296673885,0.0015103881198733418
39.0,0.5125125125125125,0.0,0.0,0.5198462091499129,-0.005269472352860171,-0.004265015069018725,0.0009679303566179792
40.0,0.5285285285285285,0.0,0.0,0.531858908299159,-0.005320707006410491,-0.009639924841363567,0.006499214483824024
41.0,0.5285285285285285,0.0,0.0,0.5442181717986213,-0.005439853068337189,0.009985165386291593,0.002750813650064569
42.0,0.5445445445445445,0.0,0.0,0.5559129700426194,-0.005323074692613748,0.004610255613946752,0.0038234869494333844
43.0,0.5605605605605606,0.0,0.0,0.5697504776689665,-0.0052592797934204,-0.025764654158398088,0.005420156630077803
44.0,0.5765765765765766,0.0,0.0,0.5820867166114614,-0.00557718907107286,-0.031139563930742926,0.0024683823019512026
45.0,0.5925925925925926,0.0,0.0,0.5951855822027355,-0.005985213925584587,-0.011514473703087762,0.0056070401467581835
46.0,0.6086086086086087,0.0,0.0,0.6096590862062633,-0.006151876072418132,-0.0168893834754326,0.004249438499046893
47.0,0.6086086086086087,0.0,0.0,0.6227657541343179,-0.006373260663619424,0.002735706752222563,0.0043768683506646144
48.0,0.6246246246246246,0.0,0.0,0.6377352097424827,-0.006332308520671826,-0.002639203020122275,0.013351596037164019
49.0,0.6406406406406406,0.0,0.0,0.6498510579533049,-0.006364284778103601,-0.03301411279246712,0.004317322491681205
50.0,0.6566566566566566,0.0,0.0,0.6669576216319597,-0.006929248072922338,-0.038389022564811956,0.006843408521878822
51.0,0.6726726726726726,0.0,0.0,0.6790645854379231,-0.007394251029702265,-0.0687639323371568,0.04758557568044759
52.0,0.6886886886886887,0.0,0.0,0.6918742409457689,-0.0082764842931534,-0.07413884210950164,0.007190411660892685
53.0,0.7047047047047047,0.0,0.0,0.7056520653590637,-0.009299831895892792,-0.05451375188184648,0.007904448830876709
